epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,9,,,0.59375,0.6848404407501221,,
0,19,,,0.5234375,0.7005755305290222,,
0,29,,,0.5390625,0.693300724029541,,
0,31,,,,,0.5419999957084656,0.6907260417938232
1,39,,,0.5625,0.681578516960144,,
1,49,,,0.5703125,0.6752445101737976,,
1,59,,,0.6484375,0.6155474185943604,,
1,63,,,,,0.5419999957084656,0.6363725662231445
2,69,,,0.5625,0.6094365119934082,,
2,79,,,0.7578125,0.6079524159431458,,
2,89,,,0.8203125,0.5468856692314148,,
2,95,,,,,0.7120000123977661,0.5771461725234985
3,99,,,0.859375,0.5314075350761414,,
3,109,,,0.6640625,0.6488386392593384,,
3,119,,,0.734375,0.48531076312065125,,
3,127,,,,,0.7620000243186951,0.5062492489814758
4,129,,,0.78125,0.45626288652420044,,
4,139,,,0.7109375,0.48829442262649536,,
4,149,,,0.8359375,0.3701808750629425,,
4,159,,,0.78125,0.42397820949554443,,
4,159,,,,,0.7459999918937683,0.5061337947845459
5,169,,,0.8203125,0.4645998775959015,,
5,179,,,0.8125,0.4487668573856354,,
5,189,,,0.8359375,0.38406503200531006,,
5,191,,,,,0.7979999780654907,0.44245439767837524
6,199,,,0.8359375,0.4170672297477722,,
6,209,,,0.828125,0.42940250039100647,,
6,219,,,0.8203125,0.41379791498184204,,
6,223,,,,,0.7760000228881836,0.4717150628566742
7,229,,,0.84375,0.39004993438720703,,
7,239,,,0.8125,0.3605037033557892,,
7,249,,,0.8671875,0.3940977454185486,,
7,255,,,,,0.7839999794960022,0.4507022500038147
8,259,,,0.8125,0.41632169485092163,,
8,269,,,0.828125,0.39515259861946106,,
8,279,,,0.796875,0.41024336218833923,,
8,287,,,,,0.7940000295639038,0.4411408603191376
9,289,,,0.8671875,0.33359667658805847,,
9,299,,,0.8515625,0.3724266588687897,,
9,309,,,0.8203125,0.3863053321838379,,
9,319,,,0.75,0.44033282995224,,
9,319,,,,,0.7879999876022339,0.4233670234680176
10,329,,,0.796875,0.3749415874481201,,
10,339,,,0.859375,0.3301670253276825,,
10,349,,,0.84375,0.34783700108528137,,
10,351,,,,,0.7960000038146973,0.4158271253108978
11,359,,,0.8046875,0.4552558660507202,,
11,369,,,0.8359375,0.37487635016441345,,
11,379,,,0.8359375,0.42406776547431946,,
11,383,,,,,0.7940000295639038,0.4294200837612152
12,384,0.8420000076293945,0.360812783241272,,,,
